Date,Source,Quote,
10/4/2015, Eternity  ," ETERNITY IS NOT endless time or the opposite of time. It is the essence of time.If you spin a pinwheel fast enough, then all its colors blend into a single colorwhitewhich is the essence of all the colors of the spectrum combined.If you spin time fast enough, then time-past, time-present, and time-to-come all blend into a single timelessness or eternity, which is the essence of all times combined.As human beings we know time as a passing of unrepeatable events in the course of which everything passes away including ourselves. As human beings, we also know occasions when we stand outside the passing of events and glimpse their meaning. Sometimes an event occurs in our lives (a birth, a death, a marriagesome event of unusual beauty, pain, joy) through which we catch a glimpse of what our lives are all about and maybe even what life itself is all about, and this glimpse of what ""it's all about"" involves not just the present but the past and future too.Inhabitants of time that we are, we stand on such occasions with one foot in eternity. God, as Isaiah says (57:15) ""inhabiteth eternity"" but stands with one foot in time. The part of time where he stands most particularly is Christ, and thus in Christ we catch a glimpse of what eternity is all about, what God is all about, and what we ourselves are all about too. -Originally published in Wishful Thinking  ", QoD-Eternity  
10/3/2015, Darkness   ," ""The people who walked in darkness have seen a great light.""IN ONE RESPECT if in no other this metaphor of Isaiah's is a very relevant one for us and our age because we are also, God knows, a people who walk in darkness. There seems little need to explain. If darkness is meant to suggest a world where nobody can see very welleither themselves, or each other, or where they are heading, or even where they are standing at the moment; if darkness is meant to convey a sense of uncertainty, of being lost, of being afraid; if darkness suggests conflict, conflict between races, between nations, between individuals each pretty much out for himself when you come right down to it; then we live in a world that knows much about darkness. Darkness is what our newspapers are about. Darkness is what most of our best contemporary literature is about. Darkness fills the skies over our own cities no less than over the cities of our enemies. And in our single lives, we know much about darkness too. If we are people who pray, darkness is apt to be a lot of what our prayers are about. If we are people who do not pray, it is apt to be darkness in one form or another that has stopped our mouths. -Originally published in The Hungering Dark ", QoD-Darkness  
10/2/2015, Isaiah  ," THERE WERE BANKS of candles flickering in the distance and clouds of incense thickening the air with holiness and stinging his eyes, and high above him, as if it had always been there but was only now seen for what it was (like a face in the leaves of a tree or a bear among the stars), there was the Mystery Itself whose gown was the incense and the candles a dusting of gold at the hem. There were winged creatures shouting back and forth the way excited children shout to each other when dusk calls them home, and the whole vast, reeking place started to shake beneath his feet like a wagon going over cobbles, and he cried out, ""O God, I am done for! I am foul of mouth and the member of a foul-mouthed race. With my own two eyes I have seen him. I 'm a goner and sunk."" Then one of the winged things touched his mouth with fire and said, ""There, it will be all right now,"" and the Mystery Itself said, ""Who will it be?"" and with charred lips he said, ""Me,"" and Mystery said ""GO.""     	      Mystery said, ""Go give the deaf Hell till you're blue in the face and go show the blind Heaven till you drop in your tracks because they'd sooner eat ground glass than swallow the bitter pill that puts roses in the cheeks and a gleam in the eye. Go do it.""      ", QoD-Isaiah  
10/1/2015, Anything Goes?  ," MOST OF THE OLD restraints are gone or going. Such purely practical restraints as the fear of pregnancy and venereal disease have been all but eliminated by the ingenuity of modern science. Pornography is available to anybody who has the money to buy it at the newsstand. As much as you can generalize about such matters, in the realm of sexual behavior the word seems to be increasingly, ""Anything goes,"" or, among the more responsible, ""Anything goes as long as nobody gets hurt,"" the trouble with which is how can anybody know in advance, in any complex human relationship, sexual or otherwise, who is going to get hurt psychologically, emotionally, spiritually? Or the word is, ""Anything goes as long as you love each other,"" the trouble with which is that love here is likely to mean a highly romanticized, sentimental sort of enterprise that comes and goes like the pink haze it is.What makes this a tragic situation, I believe, is not so much that by one set of standards or another it is morally wrong, but that in terms of the way human life is, it just does not work very well. Our society is filled with people for whom the sexual relationship is one where body meets body but where person fails to meet person; where the immediate need for sexual gratification is satisfied but where the deeper need for companionship and understanding is left untouched. The result is that the relationship leads not to fulfillment but to a half-conscious sense of incompleteness, of inner loneliness, which is so much the sickness of our time. The desire to know another's nakedness is really the desire to know the other fully as a person. It is the desire to know and to be known, not just sexually but as a total human being. It is the desire for a relationship where each gives not just of his body but of his self, body and spirit both, for the other's gladness. -Originally published in The Hungering Dark  ", QoD-Anything-Goes  
9/30/2015, More Than Symbol   ," IN ITS FULLEST sense, remembering is far more than the long backward glance of nostalgia, and in its fullest sense the symbol of bread and wine is far more than symbol. It is part of the mystery of any symbol always to contain something of the power of the thing symbolized just as it is more than a mere piece of painted cloth that makes your pulse quicken when you come upon your country's flag in a foreign land, more than a mere sound that gladdens your spirit when you hear someone speak the name of an absent friend. When in remembrance of Jesus, the disciples ate the bread and drank the wine, it was more than mere bread and wine they were dealing with, and for all the tragic and ludicrous battles Christians have fought with each other for centuries over what actually takes place at the Mass, the Eucharist, Communion, or whatever they call it, they would all seem to agree that something extraordinary takes place. Even if the priest is a fraud, the bread a tasteless wafer, the wine not wine at all but temperance grapejuice, the one who comes to this outlandish meal in faith may find there something to feed his deepest hunger, may feel stirring within himself a life even more precious, more urgent, more near than his own.-Originally published in The Faces of Jesus ", QoD-More-Than-Symbol  
9/29/2015, Good Works   ," BUT IF GOOD WORKS are not the cause of salvation, they are nonetheless the mark and effect of it. If the forgiven man does not become forgiving, the loved man loving, then he is only deceiving himself. ""You shall know them by their fruits,"" Jesus says, and here Gentle Jesus Meek and Mild becomes Christ the Tiger, becomes both at once, this stern and loving man. ""Every tree that does not bear good fruit is cut down and thrown into the fire,"" he says, and Saint Paul is only echoing him when he writes to the Galatians, ""The fruit of the Spirit is love, joy, peace, patience, kindness, goodness, faithfulness, gentleness, self-control; against such there is no law.""-Originally published in The Faces of Jesus  ", QoD-Good-Works  
9/28/2015, Dream   ," A FRIEND OF mine dreamed that he was standing in an open place out under the sky, and there was a woman also standing there dressed in some coarse material like burlap. He could not see her face distinctly, but the impression that he had was that she was beautiful, and he went up to her and asked her a question. This friend of mine described himself to me once as a believing unbeliever, and the question that he asked her was the same one that Pontius Pilate asked Jesus, only he did not ask it the way you can imagine Pilate did  urbanely, with his eyes narrowedbut instead he asked it with great urgency as if his life depended on the answer, as perhaps it did. He went up to the woman in his dream and asked, ""What is the truth?"" Then he reached out for her hand, and she took it. Only instead of a hand, she had the claw of a bird, and as she answered his question, she grasped his hand so tightly in that claw that the pain was almost unendurable and prevented him from hearing her answer. So again he asked her, ""What is the truth?"" and again she pressed his hand, and again the pain drowned out her words. And then once more, a third time, and once more the terrible pain and behind it the answer that he could not hear. And the dream ended. What is the truth for the man who believes and cannot believe that there is a truth beyond all truths, to know which is to be himself made whole and true?-Originally published in The Hungering Dark  ", QoD-Dream  
9/27/2015, Vocation   ," IN THE YEAR THAT King Uzziah died, or in the year that John F. Kennedy died, or in the year that somebody you loved died, you go into the temple if that is your taste, or you hide your face in the little padded temple of your hands, and a voice says, ""Whom shall I send into the pain of a world where people die?"" and if you are not careful, you may find yourself answering, ""Send me."" You may hear the voice say, ""Go."" Just go.Like ""duty,"" ""law,"" ""religion,"" the word ""vocation"" has a dull ring to it, but in terms of what it means, it is really not dull at all. Vocare, to call, of course, and a person's vocation is a person's calling. It is the work that they are called to in this world, the thing that they are summoned to spend their life doing. We can speak of a person choosing their vocation, but perhaps it is at least as accurate to speak of a vocation's choosing the person, of a call's being given and a person hearing it, or not hearing it. And maybe that is the place to start: the business of listening and hearing. A person's life is full of all sorts of voices calling them in all sorts of directions. Some of them are voices from inside and some of them are voices from outside. The more alive and alert we are, the more clamorous our lives are. Which do we listen to? What kind of voice do we listen for?The place God calls you to is the place where your deep gladness and the world's deep hunger meet. ", QoD-Vocation  
9/26/2015, To Go On Trying   ," WE TRY SO HARD as Christians. We think such long thoughts, manipulate such long words, and both listen to and preach such long sermons. Each one of us somewhere, somehow, has known, if only for a moment or so, something of what it is to feel the shattering love of God, and once that has happened, we can never rest easy again for trying somehow to set that love forth not only in words, myriads of words, but in our lives themselves. And when, as must always happen, we sometimes give up this trying either because for a moment it seems unreal or because we are tired or bored or because we forget or choose to forget, we cannot even enjoy our moment's release for the sense of failure that chokes us. This is of course as it should be. Fruitless and destructive as so much of our trying must always be, and tormented as we are by knowing this and by beholding the shallowness and duplicity of our motives, we have scarcely any choice but to go on trying no matter what, and there is much that is beautiful and brave and true about it. Yet we must remember this other word too: ""Unless you turn and become like children .... ""-Originally published in The Magnificent Defeat  ", QoD-To-Go-On-Trying  
9/25/2015, Beatitudes  ," IF WE DIDN'T already know but were asked to guess the kind of people Jesus would pick out for special commendation, we might be tempted to guess one sort or another of spiritual heromen and women of impeccable credentials morally, spiritually, humanly, and every which way. If so, we would be wrong. Maybe those aren't the ones he picked out because he felt they didn't need the shot in the arm his commendation would give them. Maybe they're not the ones he picked out because he didn't happen to know any. Be that as it may, it's worth noting the ones he did pick out.Not the spiritual giants but ""the poor in spirit"" as he called them, the ones who spiritually speaking have absolutely nothing to give and absolutely everything to receive like the Prodigal telling his father "" I am not worthy to be called thy son"" only to discover for the first time all he had in having a father.Not the champions of faith who can rejoice even in the midst of suffering but the ones who mourn over their own suffering because they know that for the most part they've brought it down on themselves, and over the suffering of others because that's just the way it makes them feel to be in the same room with them.Not the strong ones but the meek ones in the sense of the gentle ones, i.e., the ones not like Caspar Milquetoast but like Charlie Chaplin, the little tramp who lets the world walk over Him and yet, dapper and undaunted to the end, somehow makes the world more human in the process.Not the ones who are righteous but the ones who hope they will be someday and in the meantime are well aware that the distance they still have to go is even greater than the distance they've already come.Not the winners of great victories over Evil in the world but the ones who, seeing it also in themselves every time they comb their hair in front of the bathroom mirror, are merciful when they find it in others and maybe that way win the greater victory.Not the totally pure but the ""pure in heart,"" to use Jesus' phrase, the ones who may be as shop-worn and clay-footed as the next one but have somehow kept some inner freshness and innocence intact.Not the ones who have necessarily found peace in its fullness but the ones who, just for that reason, try to bring it about wherever and however they canpeace with their neighbors and God, peace with themselves.Jesus saved for last the ones who side with Heaven even when any fool can see it's the losing side and all you get for your pains is pain. Looking into the faces of his listeners, he speaks to them directly for the first time. ""Blessed are you,"" he says.You can see them looking back at him. They're not what you'd call a high-class crowdpeasants and fisherfolk for the most part, on the shabby side, not all that bright. It doesn't look as if there's a hero among them. They have their jaws set. Their brows are furrowed with concentration.They are blessed when they are worked over and cursed out on his account he tells them. It is not his hard times to come but theirs he is concerned with, speaking out of his own meekness and mercy, the purity of his own heart.(MATTHEW 5:1-12)-Originally published in Whistling in the Dark and later in Beyond Words  ", QoD-Beatitudes  
9/24/2015, Possibility   ," IN THE SPRING of 1953, I had left my job at Lawrenceville to be a full-time writer in New York, and it was that fall, with my third novel failing to come to life for me, that in some sense my life itself started to come to life for methe possibility, at least, of a life in Christ, with Christ, and, on some fine day conceivably, even a life for Christ, if I could ever find out what such a life involved, could find somewhere in myself courage enough, faith enough, craziness and grace enough, to undertake the living of it.-Originally published in Now and Then ", QoD-Possibility   
9/23/2015, This Way   ," BUT ON THE REALLY crucial decisions of lifeDo I love her enough to marry her? Is it worth dying for? Can I give my life to this?when it comes to decisions like these, it is not just the pro-and-con-listing part of me or the coin-tossing and advice-seeking parts that are involved. It is all of me, heart, mind, will, and when the moment comes and I find myself moving out for good and all, one way or another, there is a kind of relentless spontaneity about it, a kind of terrific sense of conviction, so that if you are Matthew in the tax office, you lay down your slide rule and your pencil, do not even finish the form that you happened to be working on at the moment, but just push back your chair and start heading for the door without even bothering to pick up your coat hanging over by the water cooler. And then you step out of there forever without once looking back over your shoulder, and start following the way you have chosen: not that way over there or that way right here, but this way. Of all the ten million and one ways in the world, you choose this way. Or maybe it chooses you - to put it a better way. Or you choose each other, your way and you. -Originally published in The Magnificent Defeat  ", QoD-This-Way  
9/22/2015, Gluttony    , A GLUTTON IS ONE who raids the icebox for a cure for spiritual malnutrition. -Originally published in Wishful Thinking , QoD-Gluttony  
9/21/2015, John the Evangelist   ," JOHN WAS A POET, and he knew about words. He knew that all men and all women are mysteries known only to themselves until they speak a word that opens up the mystery. He knew that the words people speak have their life in them just as surely as they have their breath in them. He knew that the words people speak have dynamite in them and that a word may be all it takes to set somebody's heart on fire or break it in two. He knew that words break silence and that the word that is spoken is the word that is heard and may even be answered. And at the beginning of his gospel he wrote a poem about the Word that God spoke.When God speaks, things happen because the words of God aren't just as good as his deeds, they are his deeds. When God speaks his word, John says, creation happens, and when God speaks to his creation, what comes out is not ancient Hebrew or the King James Version or a sentiment suitable for framing in the pastor's study. On the contrary. ""The word became flesh,"" John says (1:14), and that means that when God wanted to say what God is all about and what man is all about and what life is all about, it wasn't a sound that emerged but a man. Jesus was his name. He was dynamite. He was the Word of God.As this might lead you to expect, the Gospel of John is as different from the other three as night from day. Matthew quotes Scripture, Mark lists miracles, Luke reels off parables, and each has his own special axe to grind too, but the one thing they all did in common was to say something also about the thirty-odd years Jesus lived on this earth, the kinds of things he did and said and what he got for his pains as well as what the world got for his pains too. John, on the other hand, clearly has something else in mind, and if you didn't happen to know, you'd hardly guess that his Jesus and the Jesus of the other three gospels are the same man.John says nothing about when or where or how he was born. He says nothing about how the baptist baptized him. There's no account of the temptation in John, or the transfiguration, nothing about how he told people to eat bread and drink wine in his memory once in a while, or how he sweated blood in the garden the night they arrested him, or how he was tried before the Sanhedrin as well as before Pilate. There's nothing in John about the terrible moment when he cried out that God had forsaken him at the very time he needed him most. Jesus doesn't tell even a single parable in John. So what then, according to John, does Jesus do?He speaks words. He speaks poems that sound much like John's poems, and the poems are about himself. Even when he works his miracles, you feel he's thinking less about the human needs of the people he's working them for than about something else he's got to say about who he is and what he's there to get done. When he feeds a big, hungry crowd on hardly enough to fill a grocery bag, for instance, he says, ""I am the bread of life. He who comes to me shall not hunger, and he who believes in me shall never thirst"" (6:35). When he raises his old friend Lazarus from the dead, he says, "" I am the resurrection and the life. He who believes in me, though he die, yet shall he live, and whoever lives and believes in me shall never die"" (11:25-26). "" I am the door,"" he says, ""and if any one enters by me, he will be saved"" (10:9). "" I am the good shepherd"" (10:14), ""the light of the world"" (8:12), ""I am the way, the truth, and the life,"" he says (14:6) and "" I and the Father are one"" (10:30).You miss the Jesus of Matthew, Mark, and Luke of course the one who got mad and tired and took naps in boats. You miss the Jesus who healed people because he felt sorry for them and made jokes about camels squeezing through the eyes of needles and had a soft spot in his heart for easy-going ladies and children who didn't worry about Heaven like the disciples because in a way they were already there. There's nothing he doesn't know in John, nothing he can't do, and when they take him in the end, you feel he could blow them right off the map if he felt like it. Majestic, mystical, aloof almost, the Jesus of the Fourth Gospel walks three feet off the ground, you feel, and you can't help wishing that once in a while he'd come down to earth.But that's just the point, of courseJohn's point. It's not the Jesus people knew on earth that he's mainly talking about, and everybody agrees that the story about how he saved the adulteress's skin by saying, ""Let him who is without sin cast the first stone"" (8:7) must have been added by somebody else, it seems so out of place with all the rest.Jesus, for John, is the Jesus he knew in his own heart and the one he believed everybody else could know too if they only kept their hearts open. He is Jesus as the Word that breaks the heart and sets the feet to dancing and stirs tigers in the blood. He is the Jesus John loved not just because he'd healed the sick and fed the hungry but because he'd saved the world. Jesus as the mot juste of God. -Originally published in Peculiar Treasures  ", QoD-John-the-Evangelist  
9/20/2015, History    ," UNLIKE BUDDHISM OR Hinduism, biblical faith takes history very seriously because God takes it very seriously. He took it seriously enough to begin it and to enter it and to promise that one day he will bring it to a serious close. The biblical view is that history is not an absurdity to be endured or an illusion to be dispelled or an endlessly repeating cycle to be escaped. Instead it is for each of us a series of crucial, precious, and unrepeatable moments that are seeking to lead us somewhere.The true history of mankind and the true history of each individual man has less to do than we tend to think with the kind of information that gets into most histories, biographies, and autobiographies. True history has to do with the saving and losing of souls, and both of these are apt to take place when most people including the one whose soul is at stake are looking the other way. The real turning point in a man's life is less likely to be the day he wins the election or marries the girl than the morning he decides not to mail the letter or the afternoon he watches the woods fill up with snow. The real turning point in human history is less apt to be the day the wheel is invented or Rome falls than the day a boy is born to a couple of hick Jews.-Originally published in Wishful Thinking  ", QoD-History   
9/19/2015, The Plain Sense   ," THE AUTHOR OF the Epistle to the Hebrews describes Jesus as ""one who in every respect has been tempted as we are yet without sinning""tempted to be a demagogue, a spellbinder, a mere humanitarian, we are told in the account of his encounter in the wilderness with Satan, who offered him all the kingdoms of the earth if he would only settle for them and no more; tempted to escape martyrdom as Peter urged him to, saying, ""God forbid, Lord. This shall never happen to you,"" to which Jesus replied, ""Get behind me, Satan. You are a hindrance to me""; tempted, ultimately, to doubt the very faithfulness of God as he howls out his Eloi, Eloi from the cross.And yet without sinning, Hebrews says. However great the temptation to abandon once and for all both his fellow men and his Godwho together he had good reason to believe had abandoned himhe never ceased to reach out to them in love, forgiving finally his own executioners. He addressed his cry of dereliction to a God who, in spite of everything, he believed to the end was near enough, and counted him dear enough, to hear it. The paradoxical assertion that Jesus was both fully man and in some way also fully God seems to many the unnecessary and obfuscating doctrine of later theologians, but the truth of the matter is that like all doctrines it was an experience first, in this case the experience of the simple men who had actually known him. Having talked with him and eaten with him, having seen him angry, sad, merry, tired, and finally dead, they had no choice but to say that he was a man even as they themselves were men. But having found in him an undying power to heal and transform their lives, they had no choice but to say that he was God too if only because there was no other way of saying it.If the doctrine of the divinity of Christ is paradoxical, it is only because the experience was paradoxical first. Much as we may wish it otherwise, reality seldom comes to us simple, logical, all of a piece. Man is an animal, we must say if we are honest, but he is also more than animal. In honesty we must say that too. If we are determined to speak the plain sense of our experience, we must be willing to risk the charge of speaking what often sounds like nonsense. -Originally published in The Faces of Jesus ", QoD-The-Plain-Sense  
9/18/2015, Before Abraham   ," BEFORE ABRAHAM WAS, ""Jesus said, ""I am."" Who can say what he meant? Perhaps that just as his death was not the end of him, so his birth was not the beginning of him.Whatever it is that history has come to see in him over the centuries, seen or unseen it was there from the start of history, he seems to be saying, and even before the start. Before Abraham wasbefore any king rose up in Israel or any prophet to bedevil him, before any patriarch or priest, Temple or Torahsomething of Jesus existed no less truly for having no name yet or face, something holy and hidden, something implicit as sound is implicit in silence, as the Fall of Rome is implicit in the first atom sent spinning through space at the creation. And more than that.Jesus does not say that before Abraham was, he was, but before Abraham was, he is. No past, no future, but only the present, because only the present is real. Named or unnamed, known or unknown, there neither has been nor ever will be a real time without him. If he is the Savior of the world as his followers believe, there never has been nor ever will be a world without salvation. -Originally published in The Faces of Jesus ", QoD-Before-Abraham  
9/17/2015, A Man's Face  ," Jesus had a face...WHOEVER HE WAS or was not, whoever he thought he was, whoever he has become in the memories of men since and will go on becoming for as long as men remember him  exalted, sentimentalized, debunked, made and remade to the measure of each generation's desire, dread, indifferencehe was a man once, whatever else he may have been. And he had a man's face, a human face. So suppose, as the old game goes, that we could return in time and see it for ourselves, see the face of Jesus as it actually was two thousand years of faces back. Ecce homo, Pilate saidBehold the manyet whatever our religion or lack of it, we tend to shrink from beholding him and play our game instead with Shakespeare's face or Helen of Troy's because with them the chances are we could survive almost anythingShakespeare's simper, say, or a cast in Helen's eye. But with Jesus the risk is too great; the risk that his face would be too much for us if not enough, either a face like any other face to see, pass by, forget, or a face so unlike any other that we would have no choice but to remember it always and follow or flee it to the end of our days and beyond. Like you and me he had a face his life gave shape to and that shaped his life and others' lives, and with part of ourselves I think we might turn away from the mystery of that face, that life, as much of the time we turn away from the mystery of life itself. With part of ourselves I think we might avoid meeting his real eyes, if such a meeting were possible, the way that at certain moments we avoid meeting our own real eyes in mirrors because for better or worse they threaten to tell us more than we want to know. -Originally published in The Faces of Jesus ", QoD-A-Mans-Face   
9/16/2015, David   ," TO SEE WHAT there was about David that made Israel adore him like no other king she ever had, as good a place to look as any is the account of how he captured Jerusalem and moved in the ark.Jerusalem was a major plum for the new young king, a hill town considered so untakable that the inhabitants had a saying to the effect that a blind man and a cripple could hold it against the U.S. Marines (2 Samuel 5:6). Just to remind people who it was that had nevertheless finally taken it , David's first move was to change its name to the City of David. His second move was a brilliant maneuver for giving his victory the stamp of divine approval by trotting out that holy box of acacia wood overlaid with gold which was known as the ark and contained who knows what but was as close as Israel ever officially got to a representation in space of their God who dwelled in eternity. David had the ark loaded onto a custom-built cart and made a regular circus parade of it, complete with horns, harps, cymbals, and psalteries, not to mention himself high-stepping out front like the Mayor of Dublin on Saint Patrick's Day. When they finally made it into town, he set up a big tent to keep out the weather, had refreshments passed around on the house, and, just so nobody would forget who was picking up the tab, did the lion's share of the praying himself and personally took up the collection afterwards.So far it was none of it anything a good public relations man couldn't have dreamed up for him, but the next thing was something else again. He stripped down to his skivvies, and then with everybody looking on including his wifea high-class girl named Michal who gave his administration tone as the late King Saul's daughterhe did a dance. Maybe it started out as just another Madison Avenue ploy, but not for long. With trumpets blaring and drums beating, it was Camelot all over again, and for once that royal young red-head didn't have to talk up the bright future and the high hopes because he was himself the future at its brightest, and there were no hopes higher than the ones his people had in him. And for once he didn't have to drag God in for politics' sake either because it was obvious to everybody that this time God was there on his own. How they cut loose together, David and Yahweh, whirling around before the ark in such a passion that they caught fire from each other and blazed up in a single flame of such magnificence that not even the dressing-down David got from Michal afterwards could dim the glory of it.He had feet of clay like the rest of us if not more soself-serving and deceitful, lustful and vainbut on the basis of that dance alone, you can see why it was David more than anybody else that Israel lost her heart to and why, when Jesus of Nazareth came riding into Jerusalem on his flea-bitten mule a thousand years later, it was as the Son of David that they hailed him.(2 SAMUEL 5-6) -Originally published in Peculiar Treasures ", QoD-David  
9/15/2015, Hell  ," PEOPLE ARE FREE in this world to live for themselves alone if they want to and let the rest go hang, and they are free to live out the dismal consequences as long as they can stand it. The doctrine of Hell proclaims that they retain this same freedom in whatever world comes next. Thus the possibility of making damned fools of ourselves would appear to be limitless.Or maybe Hell is the limit. Since the damned are said to suffer as dismally in the next world as they do in this one, they must still have enough life left in them to suffer with, which means that in their flight from Love, God apparently stops them just this side of extinguishing themselves utterly. Thus the bottomless pit is not really bottomless. Hell is the bottom beyond which God in his terrible mercy will not let them go.Dante saw written over the gates of Hell the words ""Abandon all hope ye who enter here,"" but he must have seen wrong. If there is suffering life in Hell, there must also be hope in Hell, because where there is life there is the Lord and giver of life, and where there is suffering he is there too because the suffering of the ones he loves is also his suffering.""He descended into Hell,""' the Creed says, and "" If I make my bed in Sheol, thou art there,"" the Psalmist (139:8). It seems there is no depth to which he will not sink. Maybe not even Old Scratch will be able to hold out against him forever.  -Originally published in Wishful Thinking ", QoD-Hell  
9/14/2015, The One Good Reason  ," TO ANYONE WHO is looking for good reasons for being a Christian, let me suggest the only really good one that I know. What does the faith mean by taking this man who was really a man, perhaps the only man, and calling him the Son of God, the Word of God, the Christ, all these metaphors so alien to our whole way of thinking? What is the reality about him other than the reality of his manhood that these metaphors are so clumsily, hopelessly, beautifully trying to convey? Just this, I believe, and it is much: that in this man there is power to turn goats into tigers, to give life to the half-alive,even to the dead; that what he asks of us when he says ""Follow me"" is what he also has the power to give, and this is the power of God that he has, that he is, and that is why men have called him the Christ.  -Originally published in The Magnificent Defeat  ", QoD-The-One-Good-Reason  
9/13/2015, Two Answers   ," WHAT DOES IT mean to be a human being? There are two fine novels, written over twenty-five years ago, one by a Roman Catholic, the other by an atheist, both of which are much involved with this question. In The Power and the Glory, by Graham Greene, the hero, or nonhero, is a seedy, alcoholic Catholic priest who after months as a fugitive is finally caught by the revolutionary Mexican government and condemned to be shot. On the evening before his execution, he sits in his cell with a flask of brandy to keep his courage up and thinks back over what seems to him the dingy failure of his life. ""Tears poured down his face,"" Greene writes. ""He was not at the moment afraid of damnationeven the fear of pain was in the background. He felt only an immense disappointment because he had to go to God empty-handed, with nothing done at all. It seemed to him at that moment that it would have been quite easy to have been a saint. It would only have needed a little self-restraint, and a little courage. He felt like someone who has missed happiness by seconds at an appointed place. He knew now that at the end there was only one thing that countedto be a saint."" And in the other novel, The Plague, by Albert Camus, there is a scrap of conversation that takes place between two atheists, one of them a journalist and the other a doctor who has been trying somehow to check the plague that has been devastating the North African city where they live. "" It comes to this,"" says one of them. ""What interests me is learning to become a saint."" -Originally published in The Magnificent Defeat  ", QoD-Two-Answers   
9/12/2015, Truly Human   ," In addition to the battle to ""get ahead,"" there is another:THIS OTHER WAR is the war not to conquer but the war to become whole and at peace inside our skins. It is a war not of conquest now but of liberation because the object of this other war is to liberate that dimension of selfhood which has somehow become lost, that dimension of selfhood that involves the capacity to forgive and to will the good not only of the self but of all other selves. This other war is the war to become a human being. This is the goal that we are really after and that God is really after. This is the goal that power, success, and security are only forlorn substitutes for. This is the victory that not all our human armory of self-confidence and wisdom and personality can win for usnot simply to be treated as human but to become at last truly human. -Originally published in The Magnificent Defeat  ", QoD-Truly-Human  
9/11/2015, The Storm Without And The Storm Within  ," Beneath our clothes, our reputations, our pretensions, beneath our religion or lack of it, we are all vulnerable both to the storm without and to the storm within, and if ever we are to find true shelter, it is with the recognition of our tragic nakedness and need for true shelter that we have to start.- from Telling the Truth ", Buechner-quote-the-storm-without-and-within-0003  
9/10/2015, Love   ," THE FIRST STAGE is to believe that there is only one kind of love. The middle stage is to believe that there are many kinds of love and that the Greeks had a different word for each of them. The last stage is to believe that there is only one kind of love.The unabashed eros of lovers, the sympathetic philia of friends, agape giving itself away freely no less for the murderer than for his victim (the King James version translates it as charity)these are all varied manifestations of a single reality. To lose yourself in another's arms, or in another's company, or in suffering for all men who suffer, including the ones who inflict suffering upon youto lose yourself in such ways is to find.yourself. Is what it's all about. Is what love is. Of all powers, love is the most powerful and the most powerless. It is the most powerful because it alone can conquer that final and most impregnable stronghold which is the human heart. It is the most powerless because it can do nothing except by consent.To say that love is God is romantic idealism. To say that God is love is either the last straw or the ultimate truth.In the Christian sense, love is not primarily an emotion but an act of the will. When Jesus tells us to love our neighbors, he is not telling us to love them in the sense of responding to them with a cozy emotional feeling. You can as well produce a cozy emotional feeling on demand as you can a yawn or a sneeze. On the contrary, he is telling us to love our neighbors in the sense of being willing to work for their well-being even if it means sacrificing our own well-being to that end, even if it means sometimes just leaving them alone. Thus in Jesus' terms we can love our neighbors without necessarily liking them. In fact liking them may stand in the way of loving them by making us overprotective sentimentalists instead of reasonably honest friends.When Jesus talked to the Pharisees, he didn't say, ""There, there. Everything's going to be all right."" He said, ""You brood of vipers! how can you speak good when you are evil!"" (Matthew 12:34). And he said that to them because he loved them. This does not mean that liking may not be a part of loving, only that it doesn't have to be. Sometimes liking follows on the heels of loving. It is hard to work for somebody's well-being very long without coming in the end to rather like him too.  -Originally published in Wishful Thinking ", QoD-Love  
9/9/2015, No Theological Axe   ," AS I HAVE LONG since discovered, the world is full of peoplemany of them, I regret to say, book reviewers who, if they hear that a minister has written a novel, feel that they know, even without reading it, what sort of a novel it must be. It must be essentially a sermon with illustrations in the form of character and dialogue, and, as such, its view of life must be one-sided, simplistic, naive, with everything subordinated to the one central business of scoring some kind of homiletical bull's-eye. I protest that, in my case anyway, this simply is not so. Since my ordination, as well as before, novels, for me, startas Robert Frost said his poems did  with a lump in the throat. I don't start with some theological axe to grind, but with a deep, wordless feeling for some aspect of my own experience that has moved me. Then, out of the shadows, a handful of characters starts to emerge, then various possible relationships between them, then a setting maybe, and lastly, out of those relationships, the semblance at least of a plot. Like any other serious novelist, I try to be as true as I can to life as I have known it. I write not as a propagandist but as an artist.On the other handand here is where I feel I must be so carefulsince my ordination I have written consciously as a Christian, as an evangelist, or apologist, even. That does not mean that I preach in my novels, which would make for neither good novels nor good preaching. On the contrary, I lean over backwards not to. I choose as my characters (or out of my dreams do they choose me?) men and women whose feet are as much of clay as mine are because they are the only people I can begin to understand. As a novelist no less than as a teacher, I try not to stack the deck unduly but always let doubt and darkness have their say along with faith and hope, not just because it is good apologeticswoe to him who tries to make it look simple and easybut because to do it any other way would be to be less than true to the elements of doubt and darkness that exist in myself no less than in others. I am a Christian novelist in the same sense that somebody from Boston or Chicago is an American novelist. I must be as true to my experience as a Christian as black writers to their experience as blacks or women writers to their experience as women. It is no more complicated, no more sinister than that. As to The Final Beast, the part of the Christian experience that I particularly tried to make real was the one I found so conspicuously absent in most of the books I searched through for readings to assign my Exeter classes, and that was the experience of salvation as grace, as the now-and-thenness and here-and-thereness of the New Being. -Originally published in Now and Then ", QoD-No-Theological-Axe  
